snapshot_id,mean_attack_probability,predicted_attack_snapshot
4,0.037418756633996964,0
539,0.43447574973106384,0
1154,0.9997806549072266,1
1684,0.22533228993415833,0
2290,0.11821702867746353,0
2849,0.13185229897499084,0
3394,0.1254267692565918,0
3997,0.1331416815519333,0
4519,0.13709183037281036,0
5104,0.9997532367706299,1
5775,0.9997503757476807,1
6367,0.9995833039283752,1
6851,0.999608039855957,1
7467,0.9997410774230957,1
8027,0.8561095595359802,1
8615,0.1424659937620163,0
9150,0.06274054944515228,0
9706,0.9683642983436584,1
10340,0.9733496308326721,1
10912,0.9842946529388428,1
11455,0.7051919102668762,1
12024,0.22601047158241272,0
12524,0.04053107649087906,0
13320,0.10773930698633194,0
13826,0.21595287322998047,0
14420,0.24289771914482117,0
15054,0.13001789152622223,0
15672,0.13207797706127167,0
16224,0.09585168212652206,0
16787,0.09831487387418747,0
17320,0.11073166877031326,0
18081,0.19650022685527802,0
18702,0.5463071465492249,1
19306,0.13234136998653412,0
19914,0.9643151760101318,1
20425,0.15472064912319183,0
21022,0.15794949233531952,0
21591,0.5941500067710876,1
22177,0.19308961927890778,0
22768,0.4907955229282379,0
23432,0.8372968435287476,1
23969,0.0692065879702568,0
24483,0.348641037940979,0
25066,0.45157310366630554,0
25697,0.16238218545913696,0
26262,0.17816521227359772,0
26944,0.12288116663694382,0
27581,0.18255767226219177,0
28171,0.2449241429567337,0
28723,0.22314243018627167,0
29352,0.4135265648365021,0
29848,0.1513979732990265,0
30379,0.1887800693511963,0
30940,0.17364048957824707,0
31580,0.13185380399227142,0
32156,0.19640882313251495,0
32724,0.15345913171768188,0
33348,0.10814719647169113,0
33838,0.25946900248527527,0
34316,0.07499285042285919,0
34896,0.17709589004516602,0
35327,0.12812425196170807,0
35905,0.23794159293174744,0
36457,0.3705150783061981,0
36998,0.2512901723384857,0
37658,0.11664114147424698,0
38291,0.2647278308868408,0
38776,0.7573771476745605,1
39372,0.2859712839126587,0
40038,0.19507670402526855,0
40545,0.04902249202132225,0
41087,0.1684567928314209,0
41611,0.11903712898492813,0
42245,0.19074498116970062,0
42806,0.2093539834022522,0
43421,0.276834100484848,0
43955,0.5229040384292603,1
44438,0.08891455084085464,0
45108,0.24746626615524292,0
45709,0.3197415769100189,0
46226,0.15755818784236908,0
46832,0.1595028191804886,0
47424,0.4190259277820587,0
47986,0.3732321262359619,0
48463,0.18409381806850433,0
49077,0.6228365898132324,1
49551,0.44982460141181946,0
50130,0.10899428278207779,0
50702,0.12879692018032074,0
51316,0.28424742817878723,0
51853,0.4318881034851074,0
52502,0.3157557249069214,0
53090,0.14550277590751648,0
53582,0.0535554513335228,0
54153,0.2718018889427185,0
54732,0.11664363741874695,0
55365,0.3140717148780823,0
55953,0.5858368277549744,1
56513,0.4629398286342621,0
57036,0.11741183698177338,0
57597,0.1691419631242752,0
58262,0.26445239782333374,0
58886,0.5626987218856812,1
59457,0.175608828663826,0
59999,0.6025177240371704,1
60619,0.29548823833465576,0
61279,0.9874340295791626,1
61864,0.9874342679977417,1
62478,0.9996598362922668,1
63111,0.999657928943634,1
63676,0.9996291995048523,1
64235,0.9996407628059387,1
64779,0.999619722366333,1
65290,0.7967179417610168,1
65884,0.9996469020843506,1
66442,0.9996336102485657,1
66959,0.7214173078536987,1
67518,0.9996398091316223,1
68052,0.9996490478515625,1
68709,0.9996657371520996,1
69214,0.7292497158050537,1
69818,0.9908197522163391,1
72117,0.7291877865791321,1
72693,0.9905058741569519,1
75015,0.9996333718299866,1
75712,0.9996591806411743,1
76206,0.9996423721313477,1
76701,0.9995667338371277,1
77323,0.8060089945793152,1
77957,0.999630331993103,1
78540,0.9996426701545715,1
79039,0.9996636509895325,1
79661,0.9996340274810791,1
80193,0.9996438026428223,1
80850,0.9996418952941895,1
81454,0.9996542930603027,1
81940,0.9996609687805176,1
82472,0.9996463656425476,1
83097,0.9996454119682312,1
83650,0.9996019005775452,1
84277,0.9995399117469788,1
84852,0.9996469616889954,1
85457,0.9996376037597656,1
86044,0.7718184590339661,1
